"","company","rating","salary","city","state","companysize","industy","statistics","machine learning","r","python","computer science","mathematics","engineering","data mining","economics","java","sas","physics","operations research","spark","clustering","hadoop","matlab","hive","expression","sql","algorithms","finance","scala","applied mathematics","time series","development","math","econometrics","c++","data science","regression","bayesian methods"
"1","Sprout Social",4.9,"$95k-$139k","Chicago","IL","201-500","Internet",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"2","L.A. Care Health Plan",3.3,"$78k-$117k","Los Angeles","CA","1001-5000","Health Care Services & Hospitals",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
"3",NA,NA,NA,"Santa Monica","CA",NA,NA,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
"4","Smith Hanley Associates",4.2,NA,"Bridgewater","NJ","1-50","Staffing & Outsourcing",0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"5","Clarity Insights",3.6,"$101k-$143k",NA,NA,"201-500","IT Services",1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0
"6","PwC",3.8,"$83k-$129k","Tampa","FL","10000+","Accounting",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
"7","Senior Whole Health",3.3,"$96k-$148k","Cambridge","MA","201-500","Insurance Carriers",1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0
"8","Smith Hanley Associates",4.2,NA,"Moline","IL","1-50","Staffing & Outsourcing",0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
"9","GCP Applied Technologies",3.2,"$77k-$116k","Cambridge","MA","1001-5000","Chemical Manufacturing",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"10","Uncommon",5,"$80k-$118k","Santa Monica","CA","1-50","Internet",0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
"11","Smith Hanley Associates",4.2,NA,"New York","NY","1-50","Staffing & Outsourcing",1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
"12",NA,4,"$75k-$108k","Boulder","CO","501-1000","Computer Hardware & Software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Crossfire Consulting",5,"$93k-$141k","Center Valley","PA","51-200","Consulting",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"14","Smith Hanley Associates",4.2,NA,"Pittsburgh","PA","1-50","Staffing & Outsourcing",1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
"15","IBM",3.5,"$63k-$93k","Lansing","MI","10000+",NA,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"16","Blue Cross and Blue Shield of North Carolina",3.4,"$76k-$109k","Charlotte","NC","1001-5000","Insurance Carriers",1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0
"17","LexisNexis Legal & Professional",3.3,"$81k-$115k","Raleigh","NC","201-500","Consulting",0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"18","IMVU",2.9,"$128k-$176k","Redwood City","CA","51-200","Internet",1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0
"19","Domo",4.3,"$72k-$105k","American Fork","UT","501-1000","Computer Hardware & Software",1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0
"20","Amazon",3.6,"$123k-$174k","Seattle","WA","10000+",NA,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"21","Hulu",4.1,"$96k-$140k","Santa Monica","CA","1001-5000","TV Broadcast & Cable Networks",1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
"22","Two Sigma",4.4,"$127k-$196k","New York","NY","1001-5000","Investment Banking & Asset Management",1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"23","USAA",3.7,"$70k-$107k","San Antonio","TX","10000+","Insurance Carriers",1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0
"24","USAA",3.7,"$70k-$107k","San Antonio","TX","10000+","Insurance Carriers",1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0
"25","Bose",3.6,"$92k-$138k","Framingham","MA","10000+","Consumer Products Manufacturing",1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0
"26","Jo-Ann Stores",2.8,"$76k-$120k","Hudson","OH","10000+","Toy & Hobby Stores",0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"27","Smith Hanley Associates",4.2,NA,"Irvine","CA","1-50","Staffing & Outsourcing",1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0
"28","Esri",3.7,"$111k-$155k","Redlands","CA","1001-5000","Computer Hardware & Software",1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0
"29","Sonos",3.6,"$155k-$215k","Seattle","WA","1001-5000","Music Production & Distribution",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"30","Spring Venture Group",4.4,"$61k-$88k","Kansas City","MO","201-500","Insurance Carriers",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
"31","Clarity Insights",3.6,"$131k-$183k",NA,NA,"201-500","IT Services",0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0
"32","Esri",3.7,"$111k-$155k","Redlands","CA","1001-5000","Computer Hardware & Software",1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0
"33","Bose",3.6,"$92k-$138k","Framingham","MA","10000+","Consumer Products Manufacturing",1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0
"34","Spectrum",3.1,"$87k-$138k","Arapahoe","CO","10000+","Cable, Internet & Telephone Providers",1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
"35",NA,3.3,"$83k-$121k","San Jose","CA","51-200","Sports & Recreation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Ultimate Software",4.6,"$87k-$123k",NA,NA,"1001-5000","Enterprise Software & Network Solutions",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"37","Apple",4,"$135k-$190k","Santa Clara","CA","10000+","Computer Hardware & Software",1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0
"38","USAA",3.7,"$70k-$107k","San Antonio","TX","10000+","Insurance Carriers",1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0
"39","Two Sigma",4.4,"$127k-$196k","New York","NY","1001-5000","Investment Banking & Asset Management",1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"40","Cisco Systems",3.9,"$90k-$130k","San Jose","CA","10000+","Computer Hardware & Software",1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
"41","iHerb",4,"$79k-$117k",NA,NA,"1001-5000","Drug & Health Stores",1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"42","Lazard Asset Management",3.3,"$83k-$128k","New York","NY","1001-5000","Investment Banking & Asset Management",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
