"","company","rating","salary","city","state","companysize","industy","statistics","r","python","machine learning","engineering","computer science","economics","clustering","data mining","hadoop","java","math","matlab","physics","sas","hive","operations research","sql","classification","applied mathematics","marketing","spark"
"1","PwC",3.8,"$83k-$129k","Tampa","FL","10000--1","Accounting",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2","Smith Hanley Associates",4.2,NA,"Bridgewater","NJ","1-50","Staffing & Outsourcing",0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0
"3","L.A. Care Health Plan",3.3,"$78k-$117k","Los Angeles","CA","1001-5000","Health Care Services & Hospitals",1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4","Sprout Social",4.9,"$95k-$139k","Chicago","IL","201-500","Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"5",NA,NA,NA,"Santa Monica","CA",NA,NA,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"6","Smith Hanley Associates",4.2,NA,"Moline","IL","1-50","Staffing & Outsourcing",0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1
"7","CA Technologies",3.2,"$92k-$132k","San Diego","CA","10000--1","Computer Hardware & Software",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","USAA",3.7,"$70k-$107k","San Antonio","TX","10000--1","Insurance Carriers",1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"9","GCP Applied Technologies",3.2,"$77k-$116k","Cambridge","MA","1001-5000","Chemical Manufacturing",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"10","GE Digital",3.2,"$121k-$168k","San Ramon","CA","1001-5000","Enterprise Software & Network Solutions",1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"11","Clarity Insights",3.6,"$101k-$143k",NA,NA,"201-500","IT Services",1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1
"12","USAA",3.7,"$70k-$107k","San Antonio","TX","10000--1","Insurance Carriers",1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"13",NA,NA,"$86k-$145k","ton","MA","1-50","Computer Hardware & Software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Smith Hanley Associates",4.2,NA,"New York","NY","1-50","Staffing & Outsourcing",1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
"15","Dell",3.7,"$75k-$108k","Austin","TX","10000--1","IT Services",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"16","LexisNexis Legal & Professional",3.3,"$81k-$115k","Raleigh","NC","201-500","Consulting",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"17","Smith Hanley Associates",4.2,NA,"Pittsburgh","PA","1-50","Staffing & Outsourcing",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"18","Senior Whole Health",3.3,"$96k-$148k","Cambridge","MA","201-500","Insurance Carriers",1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"19","Crossfire Consulting",5,"$93k-$141k","Center Valley","PA","51-200","Consulting",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
