"","company","city","state","companysize","industy","statistics","python","machine learning","engineering","computer science","r","mathematics","economics","sql","data mining","java","operations research","physics","hive","sas","applied mathematics","clustering","econometrics","hadoop","math","genetic information","spark","algorithms","data science","deep learning","development","marketing","matlab","statistical analysis","statistical modeling","modeling","predictive modeling"
"1","ID Analytics","San Diego","CA","51-200","IT Services",1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0
"2","HUB International","Chicago","IL","10000+","Insurance Agencies & Brokerages",1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"3","Raise Marketplace Inc.","New York","NY","201-500","Other Retail Stores",1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"4","GCP Applied Technologies","Cambridge","MA","1001-5000","Chemical Manufacturing",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"5","America First Credit Union","Ogden","UT","1001-5000","Investment Banking & Asset Management",1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
"6","Novetta","Herndon","VA","501-1000","Enterprise Software & Network Solutions",0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
"7","Shutterfly","Redwood City","CA","1001-5000","Internet",0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"8","Progrexion Marketing",NA,NA,"1001-5000","Advertising & Marketing",1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"9","Whitney, Bradley and Brown","Reston","VA","501-1000","Consulting",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"10","Quicken Loans","Detroit","MI","10000+","Lending",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
