"","company","rating","salary","city","state","description","companysize","industy"
"1",NA,4.2,"$75k-$128k","New York","NY",NA,"51-200","Consulting"
"2","STEVENS CAPITAL MANAGEMENT",3,"$78k-$128k","Radnor","PA"," We're seeking highly driven, production-oriented researchers who possess strong technical skills and a thorough understanding of economics and finance, along with the necessary combination of creativity, resourcefulness, pragmatism and attention to detail to develop successful automated trading strategies. Primary ResponsibilitiesUtilize your analytical skills, market knowledge and intuition to develop and implement statistical trading models.Participate in all aspects of research and trading model development, including generating research ideas, building data sets, conducting statistical data analysis and implementing quantitative production trading models.RequirementsA degree in economics or finance, with extensive coursework in quantitative disciplines or a quantitative discipline (e.g. statistics, econometrics, mathematics, engineering, physics or computer science) with extensive coursework in economics or finance.Programming experience, ideally including R, C++ and/or Python.Strong working knowledge of regression, time series analysis and other statistical techniques.Experience building, organizing and analyzing large data sets is preferred.The ability to comprehend and synthesize academic literature in finance, economics and statistics.Strong financial market interest, knowledge and experience are preferred.The ability to simplify and effectively communicate complex concepts.","51-200","Financial Analytics & Research"
"3","First Republic Bank",3.7,"$80k-$134k","San Francisco","CA"," Overview  First Republic is an ultra-high-touch bank that provides extraordinary client service. We believe that one-on-one interactions build lasting relationships. We move quickly to serve our clients’ needs so that their financial transactions are handled with ease and efficiency. Client trust and security are paramount in our line of business. Ultimately, our goal is unsurpassed client satisfaction which will lead to personal referrals – our number one source of new business.  We recognize that our competitive advantage starts with our people and our culture. At First Republic, we work hard and move quickly as a very coordinated team. If you are looking for an opportunity to grow and contribute in a fun, fast-paced environment, First Republic is the place for you. We have exceptional people focused on providing extraordinary service.  First Republic and its subsidiaries offer private banking, private business banking and private wealth management, including investment, trust and brokerage services. First Republic specializes in delivering exceptional, relationship-based service, with a solid commitment to responsiveness and action. Services are offered through preferred banking or wealth management offices primarily in San Francisco, Palo Alto, Los Angeles, Santa Barbara, Newport Beach, San Diego, Portland, Boston, Palm Beach, Greenwich, and New York City. First Republic offers a complete line of banking products for individuals and businesses, including deposit services, as well as residential, commercial and personal loans.  As a strategic service offering, First Republic’s “Enterprise Data and Client Insight” (EDCI) office works collaboratively with business and Information Technology to manage engagements and lead teams of data analysis resources in and assists the bank to leverage data as an asset throughout its business processes by offering information solutions to develop enterprise view of data - including Analytics, Business Intelligence, Data Management and Data Quality and Governance. This individual will be at the nexus of helping the bank’s leadership maximize the value of our data to make more informed decisions, service clients and capitalize on competitive opportunities in increasingly sophisticated ways.  Over the years, First Republic’s focus on exceptional, relationship-based service and consistent leadership has led to continuous growth and profitability. At First Republic, it’s all about embrace change and every person has the opportunity to grow and contribute. First Republic is in fast-moving, high-growth area with huge potential. It offers variety, challenge, responsibility and the opportunity to realize your leadership potential. Being a member of First republic team means you will specialize in a particular competency - Risk, Banking and Capital Investments, or Information Technology Services. Responsibilities As a Quantitative Analyst, this person will work on a number of initiatives to improve and develop the analytics infrastructure in all areas of the bank. This person will work on cross divisional project teams with members of EDCI, Enterprise Risk, Treasury, Financial Planning & Analysis teams, Information Services, and Data Management teams. Possible projects include deriving customer insights through predictive modeling; addressing business needs and recommend solutions; determining the most effective means of meeting our risk, regulatory reporting and financial planning requirements; determining quantitative strategies for social media and marketing.  Key Responsibilities include assisting the Chief Data Officer and Head of Analytics in envisioning, designing, planning, building and deploying (release, maintenance, monitoring) information and analytics solutions. From time to time, the analyst will participate in related activities including various data governance and data profiling initiatives, application development and vendor evaluation, Executive Management Reports and other analytic activities as needed.  The ideal candidate has a broad skillset in areas like statistics, math, computing, and quantitative modeling. Background or experience in finance, business analysis, or financial engineering is a plus, but not required as long as the candidate possesses a strong curiosity for and ability to quickly learn and assimilate new skills as needed. Candidates must have an attitude of getting things done and delivering results while keeping long terms goals and objectives in mind. To supplement these sophisticated analytical capabilities, candidates need to have solid business acumen and executive-level communication. Qualifications To qualify, candidates must have the following: a bachelor's degree and 2-5 years of related work experience; or a graduate degree and approximately 3 years of related work experiencea degree in computer science, engineering, mathematics with a minor in economics, finance or a related field; MBA or MS degree preferreda minimum 2+ years of relevant corporate work experience working on programming, data analytics, quantitative modelingbanking experience is a plus but a candidate that can clearly articulate the transferability of out of industry skills will be consideredAbility to work effectively in both a team environment and independently, both with internal and external (partner) resourcesExcellent communication skills, both verbal and writtenProgramming skills in prototyping languages like pythonStatistical skills and experience with languages like RAbility to work with large databases and devising queries using SQLAn understanding of the data used and the associated inherent issues in Commercial Banking, Retail Banking, or Asset Management would be a plusStrong knowledge of and experience in executing all phases of the technology life cycle, based on proven project management and testing methodologies.","1001-5000","Banks & Credit Unions"
"4","Vanguard",3.3,"$68k-$114k","Malvern","PA"," The Quantitative Research Team is part of the Investment Management Group (IMG) and is located on the Fixed Income and Equity trading floors. The Quantitative Research Team is responsible for providing concrete and hands-on solutions to the investment process and risk management by employing quantitative and analytic methods that measure up to both intellectual rigor and pragmatic sense.  We are looking for a self-motivated, output-oriented individual with strong technical skills who is driven by an intellectual curiosity to understand the complexities of financial markets, pays close attention to detail and possesses a strong sense for resourcefulness and practicality. The individual will have the opportunity to be part of high-level meetings with senior members of IMG and have a direct impact on the company's global strategy and success. Duties and Responsibilities:Provides analytical support to portfolio managers, traders, and risk managers on the risk, return and transaction cost/market impact of investment portfolios and strategies in fixed income, equity and other asset classes.Participates in quantitative research projects under the guidance of senior researchers that support investment decision processes, utilizing quantitative skills, such as time series regressions, simulation, and data visualization techniques.Develops and prototypes effective tools using technology including Matlab, R, Excel VBA and SQL, and Hadoop for trading, TCA and risk management that provides value to the investment processes.Creates reports and surveillance packages for daily usage on market color, investment return and risk, and TCA employing proprietary analytics that serve as an important input for investment decision making.Assists in the development of the data infrastructure for investment management, including market, portfolio and analytics data and TCA data. Looks for alternative and new sources of data and ensures the cleanliness and accuracy of data.Undertakes a variety of ad hoc analytical projects as needed to support risk and investment management.Qualifications:Undergraduate degree in a Quantitative major such as Finance, Computer Science / Engineering, Math or Statistics. Advanced degree (Masters and / or Ph.D. degree) preferred.Minimum of 3 years of experience or equivalent combination of education/training.Strong technical and analytical skills a must.Working experience in and good understanding of capital markets and investment concepts preferred.Excellent interpersonal and communication skills.Self-motivated with intellectual curiosity. Great team player with the ability to work independently.Proficiency in computer programming, such as Matlab, R, Python, SQL, VBA, SAS and Hadoop-related technologies.Additional Information3 positions available.Vanguard is not offering visa sponsorship for this position.This is considered a covered department under Vanguard's Political Contribution and Fundraising Activity Policy and may be subject to greater restrictions than those set out in the policy. Prior to moving into this position you will be required to disclose all political contributions made within the last two years.","10000--1","Investment Banking & Asset Management"
"5","TD Bank",3.5,"$73k-$124k","Wilton","NY","The Quantitative Analyst provides model validation and advance qualitative and quantitative analysis for advanced qualitative or quantitative models to meet DFAST and CCAR requirement. In addition, the Quantitative Analyst provides highly specialized model risk management services to support at the assigned line(s) of business. Job Requirements • Provides financial, analytical, model validation expertise to qualitative and quantitative models for DFAST and CCAR projects. Conducts complex quantitative analysis as it applies to areas of responsibility, such as a specific model or portfolio. In-depth understanding of the whole function and/or key business areas supportedPerforms statistical model assumptions' tests for soundness of model theory.Write high quality model validation reports.Leads activities of unit, assigning, prioritizing and monitoring work.Provides training and mentoring for new and less experienced staff.Resolves escalated issues and problems by conferring with staff.Provides financial, analytical, planning, and forecasting expertise to assist in the development and completion of projects.Develops specialized analytical tools for projects or ongoing use.May manage the development of conclusions and courses of action to rectify discrepancies as well as analyses to be presented to management for aid in decision-making processes.May lead additional research efforts, applying expertise in statistical analysis and modeling.Explores best practice modeling techniques for model enhancement.Develops and maintains strong business relationships with business line management Qualifications • Graduate's degree in statistics, financial engineering, economics, business administration or other quantitative fields with progressive work experience in addition3-5 + years model validation or modeling experience requiredThorough business knowledge and acumen in retail, commercial, or investment banking areProven interpersonal and consultative communication skills with well-developed presentation skillsAbility to successfully plan, develop, lead, and execute projectsAbility to effectively interpret, select appropriate techniques, take independent action, communicate, and follow-throughProven ability to manage competing priorities effectively, making good decisions based on business priorities and objectivesComprehensive practical knowledge of both quantitative and qualitative forecasting models, financial analysis techniques and methodologiesProven ability to employ complex analytical tools and statistics to perform analysis and forecasting of financial and other business informationGood understanding of regulator's model documentation requirement for CCAR and DFASTProficiently use Microsoft Office tools to prepare and present analysis results to the audienceDemonstrated knowledge of financial analysis and planning software applicationsAdvanced skills in Excel, SAS and SQLAdvanced level in statistical analysis and modeling tools This position may be located in the Wilton, CT, Boston, MA or Mount Laurel, NJ. Inclusiveness  At TD, we are committed to fostering an inclusive, accessible environment, where all employees and customers feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live in and serve, and creating an environment where every employee has the opportunity to reach her/his potential.  If you have a disability that requires an accommodation to complete the application process, please e-mail TD Bank's HR Compliance Department at hrcompliance@td.com. Please include your full name, contact information and details about your request within the e-mail.  EOE/Minorities/Females/Veterans/Individuals with Disabilities/Sexual Orientation/Gender Identity.*Province/State (Primary) Connecticut City (Primary) Wilton ProvState 2 New Jersey City(s) 2 Cherry Hill ProvState 3 New York City(s) 3 New York","10000--1","Banks & Credit Unions"
"6","First Republic Bank",3.7,"$80k-$134k","San Francisco","CA"," Overview  First Republic is an ultra-high-touch bank that provides extraordinary client service. We believe that one-on-one interactions build lasting relationships. We move quickly to serve our clients’ needs so that their financial transactions are handled with ease and efficiency. Client trust and security are paramount in our line of business. Ultimately, our goal is unsurpassed client satisfaction which will lead to personal referrals – our number one source of new business.  We recognize that our competitive advantage starts with our people and our culture. At First Republic, we work hard and move quickly as a very coordinated team. If you are looking for an opportunity to grow and contribute in a fun, fast-paced environment, First Republic is the place for you. We have exceptional people focused on providing extraordinary service.  As a strategic service offering, First Republic’s “Enterprise Data and Client Insight” (EDCI) office works collaboratively with business and Information Technology to manage engagements and leads teams of data analysis resources and assists the bank to leverage data as an asset throughout its business processes by offering information solutions to develop enterprise views of data - including Analytics, Business Intelligence, Data Management and Data Quality, and Governance. This individual will be at the nexus of helping the bank’s leadership maximize the value of our data to make more informed decisions, service clients and capitalize on competitive opportunities in increasingly sophisticated ways.  Over the years, First Republic’s focus on exceptional, relationship-based service and consistent leadership has led to continuous growth and profitability. At First Republic, it’s all about embracing change and every person has the opportunity to grow and contribute. First Republic is a fast-moving, high-growth institution with huge potential. It offers variety, challenge, responsibility and the opportunity to realize your leadership potential. Being a part of the First Republic team means you will specialize in a particular competency - Risk, Banking and Capital Investments, or Information Technology Services. Responsibilities As a Quantitative Analyst, this person will work on a number of initiatives to improve and develop the analytics infrastructure in all areas of the bank. This person will work on cross divisional project teams with members of EDCI, Enterprise Risk, Treasury, Financial Planning & Analysis teams, Information Services, and Data Management teams. Possible projects include deriving customer insights through predictive modeling; addressing business needs and recommend solutions; determining the most effective means of meeting our risk, regulatory reporting and financial planning requirements; determining quantitative strategies for social media and marketing.  Key Responsibilities include assisting the Chief Data Officer and Head of Analytics in envisioning, designing, planning, building and deploying (release, maintenance, monitoring) information and analytics solutions. From time to time, the analyst will participate in related activities including various data governance and data profiling initiatives, application development and vendor evaluation, Executive Management Reports and other analytic activities as needed.  The ideal candidate has a broad skillset in areas like statistics, math, computing, and quantitative modeling. Background or experience in finance, business analysis, or financial engineering is a plus, but not required as long as the candidate possesses a strong curiosity for and ability to quickly learn and assimilate new skills as needed. Candidates must have an attitude of getting things done and delivering results while keeping long terms goals and objectives in mind. To supplement these sophisticated analytical capabilities, candidates need to have solid business acumen and executive-level communication. QualificationsTo qualify, candidates must have the following:A bachelor's degree and 2-5 years of related work experience; or a graduate degree and approximately 3 years of related work experienceA degree in computer science, engineering, mathematics with a minor in economics, finance or a related field; MBA or MS degree preferredA minimum 2+ years of relevant corporate work experience working on programming, data analytics, quantitative modelingbanking experience is a plus but a candidate that can clearly articulate the transferability of out of industry skills will be consideredAbility to work effectively in both a team environment and independently, both with internal and external (partner) resourcesExcellent communication skills, both verbal and writtenProgramming skills in prototyping languages like pythonStatistical skills and experience with languages like RAbility to work with large databases and devising queries using SQLAn understanding of the data used and the associated inherent issues in Commercial Banking, Retail Banking, or Asset Management would be a plusStrong knowledge of and experience in executing all phases of the technology life cycle, based on proven project management and testing methodologies.","1001-5000","Banks & Credit Unions"
"7","Citadel",3.5,"$156k-$227k","Chicago","IL"," Job Description Quantitative Researchers work closely with other members of the Global Quantitative Strategies team to develop and test highly automated quantitative trading strategies using sophisticated quantitative/statistical techniques for strategies ranging from Equity/Non-Equity Statistical Arbitrage, Systematic Fundamental Equity L/S, Systematic CTA/Managed Futures and Fundamental FICC.Key ResponsibilitiesAssist in developing core algorithms and models leading directly to trading decisionsWork closely with traders to interpret valuations and develop next generation models and analyticsEvaluate financial data vendors; evaluate and work with new data sources and analytics packages in developing investment strategiesProvide high level technical and investment analytics support to trading desksSupport research and statistical analyses about securities and commoditiesWork closely with other researchers to develop and continuously improve upon mathematical models, and help translate algorithms into codeSkillset RequirementsBachelor’s degree, or equivalent experience, preferably in Statistics, Computer Science, Mathematics, IEOR, Finance, Accounting, Economics, or a related fieldDemonstrated ability to complete high-level, investment-related researchPrior experience in a quantitative role within a trading environment or experience in a position applying advanced quantitative techniques to solving highly complex data intensive problemsStrong analytical skills; experience working with and analyzing large datasetsStrong mathematical and statistical modeling skills (i.e. time-series and cross-sectional skills) preferredProficiency in coding, with experience using statistical packages (e.g. R, Matlab)Exposure to scripting (e.g. Python, Perl); C/C++ a plus but not requiredDepending on the role, additional qualifications may include:Demonstrated interest in or knowledge of investments, derivatives, asset pricing, empirical anomalies, macroeconomic analysis and market micro-structurePrior experience with equities, convertible arbitrage, fixed income and/or commoditiesUnderstanding of the modeling of risk and dynamics of linear and non-linear financial productsStrong understanding of international accounting rules and familiarity with global market structureFamiliarity with portfolio construction analytics and some exposure to quantitative portfolio managementOpportunities in Chicago, London, Hong Kong and New York About Citadel  Citadel is a global investment firm built around world-class talent, sound risk management, and innovative leading-edge technology. For a quarter of a century, Citadel’s hedge funds have delivered meaningful and measurable results to top-tier investors around the world, including sovereign wealth funds, public institutions, corporate pensions, endowments and foundations.  With an unparalleled ability to identify and execute on great ideas, Citadel’s team of more than 675 investment professionals, operating from offices including Chicago, New York, San Francisco, London, Hong Kong and Shanghai, deploy capital across all major asset classes, in all major financial markets. Apply Now","1001-5000","Investment Banking & Asset Management"
"8","Two Sigma",4.4,"$83k-$151k","New York","NY"," We are seeking world-class researchers and engineers who are obsessive about data analysis and the pursuit of its greatest challenges. Cracking complex problems in the financial markets requires exceptional knowledge of computational methods, numerical algorithms, and statistical approaches. Our undertaking has brought on-board Putnam finalists, International Mathematical Olympiad medalists, and accomplished researchers from across many industries.Requirements Include:A bachelor’s or advanced degree in quantitative disciplines.Experience working with large data sets.Strong programming skills in Java, C, or C++.Solid numerical programming abilities.Innate curiosity and resourcefulness.While we analyze the data-rich domain of finance, financial experience is not a requirement.","1001-5000","Investment Banking & Asset Management"
"9","Federal Reserve Bank of Cleveland",3.6,"$82k-$133k","Cleveland","OH","The Federal Reserve Bank of Cleveland is part of the nation's central bank. We've provided many opportunities for professional growth during our history. For seventeen years in a row, we've been named ""One of Northeast Ohio's Best Places to Work"" by North Coast 99. This prestigious award honors organizations with outstanding employment practices, including compensation, benefits, training, recruitment, retention, community services, and employee communications.At our state-of-the-art offices we are seeking innovative thinkers with vision to build the framework that will carry the Bank into the future. Join our team!Quantitative Analyst I, II, SeniorSurveillance and AnalyticsThis position supports the Federal Reserve's mission of financial system stability. Leads the development of quantitative models and tools to identify, measure and monitor emerging risks in the financial system. Shares technical knowledge and horizontal perspective gained from research to internal and external audiences. Serves on Department, System or interagency committees and workgroups related to technical areas of specialty. Has advanced econometric modeling experience with large datasets, including demonstrated use of one or more of the following: Matlab, C , SAS, S-PLUS/R, Stata, SQL.Essential AccountabilitiesLeads development of models and tools to identify, measure, and monitor emerging risks in the financial system Works independently or in small teams on reviews both in-District and out-of-District. Is proficient in preparing and communicating moderately complex findings with a moderate degree of oversight, whether in meetings, internal debriefs or through written products and work papers. Meets established standards, quality, and timeliness requirements. Contributes actively by participating and occasionally leading local and national strategic projects and initiatives. Examples include leading Federal Reserve or Reserve Bank model development or validation activities, conducting research, or making comparable contributions. Proficiently executes assignments, including project-based activities, in an informed manner to meet established objectives, performance and timeliness requirements. Demonstrates and applies technical expertise and proficiency in advanced statistical/analytical methods and methodologies, including maintaining awareness of industry range of practice. Monitors white papers, industry developments and other key knowledge sources to ensure knowledge and expertise remain current. Shares knowledge and expertise and acts as a resource to junior staff, peer quantitative analysts, examiners, and other staff to support their knowledge and understanding of models/modeling approaches, model risk management, and related supervisory expectations and requirements. Manages relationships effectively and tailors message appropriately to audiences both internal and external to the Federal Reserve and across a range of levels, including quant analysts, examiners, and mid-level/executive management. Performs other duties as assigned or requested. Adheres to the Bank`s attendance policies through regular and prompt attendance.Education and Experience - Quantitative Analyst I- Master's Degree in quantitative discipline - 3 years of work experience required in financial modeling and risk management with a focus on advanced quantitative modeling and risk measurement techniques and processes Education and Experience - Quantitative Analyst II- Master's Degree in quantitative discipline - 5 years of work experience required in financial modeling and risk management with a focus on advanced quantitative modeling and risk measurement techniques and processes Education and Experience - Quantitative Analyst Senior- Master's Degree in quantitative discipline - 7 years of work experience required in financial modeling and risk management with a focus on advanced quantitative modeling and risk measurement techniques and processes Physical Demands and General Working ConditionsTraditional office environment: Employees typically sit most of the day, work with a computer and may answer/respond to phone calls. Physical movement consists of walking for meetings, breaks, etc. Ability to lift items weighing approximately 20 pounds on a limited basis is required. Employees will be required to travel by car/air.PLEASE NOTE: This position requires access to confidential supervisory information, access to which is limited to ""Protected Individuals"" as defined by regulation of the Board of Governors of the Federal Reserve System. Protected Individuals include, but are not limited to, U.S. Citizens, U.S. Nationals, and lawful permanent resident aliens (also known as ""green card holders"") but do not include (i) a permanent resident alien who fails to apply for naturalization within six months of the date the alien first becomes eligible to apply for naturalization and (ii) an alien who has applied on a timely basis, but has not been naturalized as a citizen within 2 years after the date of the application, unless the alien can establish that the alien is actively pursuing naturalization. If you are selected for an interview, you will be required to present documentation of your eligibility prior to the interview. ","1001-5000","Banks & Credit Unions"
"10","Blue Cross and Blue Shield of Massachusetts",3.5,"$106k-$169k","Boston","MA"," Are you looking for innovation? Your search is over - it happens here.  With increasing focus on performance measurement as one of the foundational elements in achieving the goal of safe, affordable, and effective patient-centered care, Blue Cross Blue Shield of Massachusetts seeks to continue its leadership position with respect to the effective use of performance measurement and program evaluation in its quality and affordability programs. This Analyst will lead the development and implementation of analysis plans using quantitative methods and statistical tools to help the company better measure the quality of delivered healthcare services and evaluate how that care is influenced by individual physician or group practice variation, consumer behaviors, patient preference, clinical management programs and innovative reimbursement models. Major Responsibilities:Collaborate with internal business partners to define, develop and enhance healthcare evaluation algorithms and processes to assess the impact of new product/network design, provider contract and clinical condition management program on member experience, clinical quality, utilization, cost of care and productivity. Summarize the findings and identify potential areas for enhancement to further strengthen the design and improve product/program effectiveness and efficiency.Take lead role in core analysis and reporting activities to support payment reform, disparity analytics, account analytics, and member engagement initiatives.Work with complex healthcare data to test the feasibility of implementing new physician and hospital quality measures for performance incentive and reporting programs.Analyze healthcare quality and utilization data to identify best practices, care delivery trends and clinical practice variation within hospital, provider group and individual physicians.Apply data mining techniques to enhance existing or develop new predictive models for targeted outreach, detect member and provider behavior patterns and build member and provider profiles to help develop efficient and effective member and provider communication and engagement strategy.Qualifications:Demonstrated extensive experience in leading analysis design, execution, interpretation & reporting using large-scale healthcare data setsExperience in advanced statistical analysis and modelingAdvanced level proficiency in SAS programming, knowledge of R, MATLAB, PYTHON, STATA, Tableau are preferredCapable of effectively translate customer needs into appropriate specifications and analytic plans, work with team members to carry out analysis and summarize findingsStrong organizational and problem solving skills, able to manage deadlines and working simultaneously on a variety of tasksExcellent communication skills in team environment, with ability to effectively share knowledge and analyses results to larger groupsEducation and Experience:Minimum of five years’ experience in health care data analysis and reportingBA/BS required, MA/MS in Math/Statistics/Biostatistics/Public Health/Nursing/Social Sciences or related field a plusKnowledge of claims based healthcare data and the health insurance industry preferred#LI-LH1 LocationBostonTime TypeFull time","1001-5000","Insurance Carriers"
