"","skill","n"
"1","statistics",427
"2","python",312
"3","r",306
"4","machine learning",274
"5","computer science",221
"6","engineering",214
"7","mathematics",210
"8","data mining",179
"9","java",165
"10","economics",134
"11","spark",127
"12","hadoop",121
"13","sas",120
"14","operations research",119
"15","hive",118
"16","physics",118
"17","sql",118
"18","matlab",111
"19","algorithms",87
"20","clustering",82
"21","scala",81
"22","econometrics",79
"23","expression",71
"24","finance",69
"25","physical",66
"26","math",64
"27","applied mathematics",60
"28","development",57
"29","tableau",56
"30","regression",54
"31","c++",53
"32","optimization",53
"33","pig",52
