"","skill","n"
"1","statistics",405
"2","machine learning",307
"3","r",302
"4","python",271
"5","computer science",240
"6","mathematics",220
"7","engineering",210
"8","data mining",188
"9","economics",142
"10","java",131
"11","sas",129
"12","physics",110
"13","operations research",108
"14","spark",104
"15","clustering",103
"16","hadoop",96
"17","matlab",94
"18","hive",91
"19","expression",86
"20","sql",86
"21","algorithms",85
"22","finance",71
"23","scala",65
"24","applied mathematics",64
"25","time series",59
"26","development",56
"27","math",56
"28","econometrics",55
"29","c++",54
"30","data science",53
"31","regression",53
"32","bayesian methods",51
